team number,rookie year,city,state,competing this year?
5411,2015,Prosper,Texas,True
5414,2015,Pearland,Texas,True
5416,2015,Katy,Texas,False
5417,2015,Allen,Texas,True
5427,2015,Katy,Texas,True
5431,2015,Plano,Texas,True
5503,2015,Smithville,Texas,True
5566,2015,Sugar Land ,Texas,False
5572,2015,San Antonio,Texas,True
5639,2015,Pharr,Texas,False
5681,2015,San Antonio,Texas,False
5682,2015,Mesquite,Texas,False
5726,2015,San Antonio,Texas,True
5739,2015,Dallas,Texas,False
5754,2015,San Antonio,Texas,False
5771,2015,Marfa,Texas,False
5775,2015,Malakoff,Texas,False
5788,2015,Allen,Texas,True
5829,2016,Houston,Texas,True
5866,2016,Wolfforth,Texas,True
5873,2016,Farmersville,Texas,False
5888,2016,Lubbock,Texas,False
5892,2016,Houston,Texas,True
5894,2016,Edinburg,Texas,True
5908,2016,Stafford,Texas,True
5923,2016,Angleton,Texas,True
5960,2016,Mission,Texas,False
5981,2016,San Antonio,Texas,False
5986,2016,San Antonio,Texas,True
6111,2016,Houston,Texas,False
6126,2016,San Antonio,Texas,False
6133,2016,North Richland Hills,Texas,False
6144,2016,El Paso,Texas,False
6155,2016,San Antonio,Texas,True
6171,2016,Plano,Texas,True
6173,2016,Elgin,Texas,False
6180,2016,Mission,Texas,True
6209,2016,Lubbock,Texas,False
6306,2017,San Antonio,Texas,False
6315,2017,Laredo,Texas,False
6321,2017,Leander,Texas,False
6357,2017,Dripping Springs,Texas,True
6363,2017,El Campo,Texas,False
6369,2017,McKinney,Texas,True
6370,2017,Helotes,Texas,False
6377,2017,Austin,Texas,True
6488,2017,Houston,Texas,True
6526,2017,Garland,Texas,True
6547,2017,Magnolia,Texas,False
6645,2017,Crosby,Texas,True
6646,2017,Belton,Texas,False
6655,2017,Arlington,Texas,False
6664,2017,Pharr,Texas,False
6671,2017,Fort Worth,Texas,False
6672,2017,Irving,Texas,True
6684,2017,Carrizo Springs,Texas,False
6727,2017,Belton,Texas,False
6733,2017,Pharr,Texas,False
6751,2017,Dallas,Texas,False
6754,2017,Edinburg,Texas,False
6768,2017,Denison,Texas,True
6800,2018,Austin,Texas,True
6830,2018,Pharr,Texas,False
6901,2018,Frisco,Texas,True
6935,2018,Ingram,Texas,False
6993,2018,Lubbock ,Texas,False
7063,2018,San Antonio,Texas,False
7088,2018,Somerset,Texas,True
7091,2018,Dallas,Texas,True
7092,2018,Lyford,Texas,False
7115,2018,Houston,Texas,True
7119,2018,Dallas,Texas,True
7120,2018,Dallas,Texas,False
7121,2018,Keller,Texas,True
7125,2018,Glen Rose,Texas,True
7138,2018,Fischer,Texas,True
7179,2018,Garland,Texas,False
7264,2018,New Braunfels,Texas,False
7303,2018,Haslet,Texas,False
7312,2018,Tomball,Texas,True
7319,2018,Garland,Texas,False
7321,2018,Irving,Texas,False
7418,2019,Channelview,Texas,False
7440,2019,Livingston,Texas,False
7492,2019,The Woodlands,Texas,True
7494,2019,Missouri City,Texas,False
7503,2019,Frisco,Texas,True
7506,2019,Arlington,Texas,True
7508,2019,Temple,Texas,False
7511,2019,Waco,Texas,False
7521,2019,Laredo,Texas,True
7533,2019,El Paso,Texas,False
7534,2019,Fort Worth,Texas,True
7535,2019,Arlington,Texas,False
7573,2019,Muleshoe,Texas,False
7616,2019,Sweeny,Texas,True
7621,2019,Spring Branch,Texas,False
7691,2019,Tomball,Texas,True
7704,2019,Dallas,Texas,False
7708,2019,Terrell,Texas,False
7720,2019,Carrollton,Texas,False
7749,2019,Dallas,Texas,False
7750,2019,Alpine,Texas,False
7837,2019,San Antonio,Texas,False
7872,2019,Wimberley,Texas,False
8019,2020,Mission,Texas,True
8053,2020,San Antonio,Texas,False
8055,2020,Frisco,Texas,False
8088,2020,Liberty Hill,Texas,True
8114,2020,Boerne,Texas,True
8144,2020,Cypress,Texas,True
8150,2020,Houston,Texas,False
8177,2020,Tomball,Texas,True
8210,2020,Houston,Texas,False
8233,2020,New Braunfels,Texas,False
8247,2020,Grandview,Texas,False
8265,2020,Mission,Texas,False
8274,2020,Houston,Texas,False
8319,2020,Hillsboro,Texas,False
8369,2020,Uvalde,Texas,False
8370,2020,Katy,Texas,True
8371,2020,Shepherd,Texas,False
8388,2020,Mesquite,Texas,False
8392,2020,Houston,Texas,True
8405,2020,San Antonio,Texas,False
8408,2020,Wink,Texas,True
8507,2021,Midlothian,Texas,True
8515,2021,Houston,Texas,True
8556,2021,San Juan,Texas,False
8573,2021,McAllen,Texas,True
8576,2021,Fulshear,Texas,True
8580,2021,Jayton,Texas,False
8591,2021,Olmito,Texas,False
8598,2021,Mission,Texas,True
8610,2021,San Antonio,Texas,True
8625,2021,Mission,Texas,True
8722,2022,Austin,Texas,False
8732,2022,Anna,Texas,True
8749,2022,Farmersville,Texas,True
8750,2022,Port Isabel,Texas,True
8769,2022,Spring,Texas,True
8816,2022,Frisco,Texas,True
8818,2022,Houston,Texas,True
8819,2022,Austin,Texas,False
8827,2022,Edinburg,Texas,True
8842,2022,Santa Anna,Texas,False
8858,2022,Wylie,Texas,True
8874,2022,Richardson,Texas,True
8879,2022,Del Valle,Texas,True
9034,2023,Mesquite,Texas,True
9051,2023,Portland,Texas,True
9054,2023,Johnson City,Texas,True
9069,2023,Venus,Texas,False
9081,2023,Friendswood,Texas,False
9088,2023,Irving,Texas,False
9105,2023,Frisco,Texas,True
9121,2023,Victoria,Texas,True
9128,2023,Plano,Texas,True
9136,2023,El Paso,Texas,True
9137,2023,Navasota,Texas,True
9140,2023,Austin,Texas,True
9156,2023,Carrollton,Texas,True
9181,2023,Houston,Texas,True
9236,2023,Taft,Texas,False
9258,2023,El Paso,Texas,False
9289,2023,Houston,Texas,True
9307,2023,La Porte,Texas,True
9311,2023,Devine,Texas,True
9418,2024,Spring,Texas,True
9419,2024,San Antonio,Texas,True
9444,2024,San Antonio,Texas,True
9448,2024,Victoria,Texas,True
9478,2024,Sugar Land,Texas,True
9492,2024,Prosper,Texas,True
9506,2024,Manor,Texas,True
9512,2024,Kingwood,Texas,True
9515,2024,Houston,Texas,True
9516,2024,Houston,Texas,True
9517,2024,Houston,Texas,True
9521,2024,Humble,Texas,True
9524,2024,San Antonio,Texas,True
9577,2024,Dripping Springs,Texas,True
9658,2024,San Antonio,Texas,True
9664,2024,San Antonio,Texas,True
9714,2024,Rio Vista,Texas,False
9786,2024,Monahans,Texas,True
10551,2025,Dallas,Texas,False
